,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
139,Sudan,2,0.0,1.0,0.0,0.0,1,0.0,0.05,43849000.0,12.862807,30.217636,4.561107436885676e-06,0.0,50.0,50.0
140,Bhutan,2,0.0,0.0,0.0,0.0,2,0.0,3.0,772000.0,27.514162,90.433601,0.00025906735751295336,0.0,100.0,0.0
141,Guinea,2,0.0,0.0,0.0,0.0,2,0.0,0.2,13133000.0,9.945587,-9.696645,1.5228812914033352e-05,0.0,100.0,0.0
142,Mauritania,2,0.0,0.0,0.0,0.0,2,0.0,0.4,4650000.0,21.00789,-10.940835,4.301075268817204e-05,0.0,100.0,0.0
143,Saint Lucia,2,0.0,0.0,0.0,0.0,2,0.0,11.0,184000.0,13.909444,-60.97889300000001,0.0010869565217391304,0.0,100.0,0.0
144,Nepal,1,0.0,0.0,0.0,1.0,0,0.0,0.03,29137000.0,28.394857000000002,84.12400799999999,3.432062326251845e-06,100.0,0.0,0.0
145,Antigua and Barbuda,1,0.0,0.0,0.0,0.0,1,0.0,10.0,98000.0,17.060816,-61.796428000000006,0.0010204081632653062,0.0,100.0,0.0
146,St. Vincent Grenadines,1,0.0,0.0,0.0,0.0,1,0.0,9.0,111000.0,12.984305,-61.287228000000006,0.0009009009009009009,0.0,100.0,0.0
147,Eswatini,1,0.0,0.0,0.0,0.0,1,0.0,0.9,1160000.0,-26.497615999999997,31.355666999999997,8.620689655172413e-05,0.0,100.0,0.0
148,Total:,297635,22088.0,12831.0,1451.0,94625.0,190179,9141.0,38.2,7794798728.999999,1.0,1.0,0.003818379541894648,31.792295932937996,63.89671913585432,4.310984931207687
